path,area,git_blob_or_state,provenance_classification,governing_basis,release_disposition,evidence
samples/CameraAccess/CameraAccess/Assets.xcassets/AppIcon.appiconset/Contents.json,ios-experimental,f7757d41a6cb437c36912f32f3e40d497940915f,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/AppIcon.appiconset/Contents.json;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/AppIcon.appiconset/Contents.json;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/AppIcon.appiconset/Contents.json;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/AppIcon.appiconset/Contents.json
samples/CameraAccess/CameraAccess/Assets.xcassets/AppIcon.appiconset/imagine_a_film_camera_in_the_style.jpeg,ios-experimental,b91090c87ad741739b43602669f0b99a280d2356,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-android:samples/CameraAccess/app/src/main/res/mipmap-xxxhdpi/ic_launcher.jpg;exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/AppIcon.appiconset/imagine_a_film_camera_in_the_style.jpeg;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/AppIcon.appiconset/imagine_a_film_camera_in_the_style.jpeg;exact:visionclaw:samples/CameraAccessAndroid/app/src/main/res/mipmap-xxxhdpi/ic_launcher.jpg;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/AppIcon.appiconset/imagine_a_film_camera_in_the_style.jpeg;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/AppIcon.appiconset/imagine_a_film_camera_in_the_style.jpeg
samples/CameraAccess/CameraAccess/Assets.xcassets/Contents.json,ios-experimental,73c00596a7fca3f3d4bdd64053b69d86745f9e10,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/Contents.json;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/Contents.json;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/Contents.json;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/Contents.json
samples/CameraAccess/CameraAccess/Assets.xcassets/appPrimaryColor.colorset/Contents.json,ios-experimental,9bce1673d0fa54149e0f38e7893369d82a7c458c,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/appPrimaryColor.colorset/Contents.json;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/appPrimaryColor.colorset/Contents.json;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/appPrimaryColor.colorset/Contents.json;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/appPrimaryColor.colorset/Contents.json
samples/CameraAccess/CameraAccess/Assets.xcassets/cameraAccessIcon.imageset/Contents.json,ios-experimental,fc786d2e7edb5342cf9d4512b4d88357fe6b87ce,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/cameraAccessIcon.imageset/Contents.json;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/cameraAccessIcon.imageset/Contents.json;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/cameraAccessIcon.imageset/Contents.json;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/cameraAccessIcon.imageset/Contents.json
samples/CameraAccess/CameraAccess/Assets.xcassets/cameraAccessIcon.imageset/cameraAccessIcon.png,ios-experimental,7f919e39db6e1e2df299a5acfd9a3f84e567a6c8,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/cameraAccessIcon.imageset/cameraAccessIcon.png;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/cameraAccessIcon.imageset/cameraAccessIcon.png;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/cameraAccessIcon.imageset/cameraAccessIcon.png;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/cameraAccessIcon.imageset/cameraAccessIcon.png
samples/CameraAccess/CameraAccess/Assets.xcassets/destructiveBackground.colorset/Contents.json,ios-experimental,aa78b91777a8b9ec2f560f0a62812b00fb0af3cb,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/destructiveBackground.colorset/Contents.json;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/destructiveBackground.colorset/Contents.json;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/destructiveBackground.colorset/Contents.json;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/destructiveBackground.colorset/Contents.json
samples/CameraAccess/CameraAccess/Assets.xcassets/destructiveForeground.colorset/Contents.json,ios-experimental,31dafdbab26ff4ad4a39168b3f0ceb57d59bebbc,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/destructiveForeground.colorset/Contents.json;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/destructiveForeground.colorset/Contents.json;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/destructiveForeground.colorset/Contents.json;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/destructiveForeground.colorset/Contents.json
samples/CameraAccess/CameraAccess/Assets.xcassets/smartGlassesIcon.imageset/Contents.json,ios-experimental,ae0a59aea572731222d2cba63e0a8de307a79fed,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/smartGlassesIcon.imageset/Contents.json;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/smartGlassesIcon.imageset/Contents.json;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/smartGlassesIcon.imageset/Contents.json;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/smartGlassesIcon.imageset/Contents.json
samples/CameraAccess/CameraAccess/Assets.xcassets/smartGlassesIcon.imageset/smartGlassesIcon.png,ios-experimental,25da5d954b6000a01289c87dca7bd21a1561bd6c,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/smartGlassesIcon.imageset/smartGlassesIcon.png;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/smartGlassesIcon.imageset/smartGlassesIcon.png;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/smartGlassesIcon.imageset/smartGlassesIcon.png;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/smartGlassesIcon.imageset/smartGlassesIcon.png
samples/CameraAccess/CameraAccess/Assets.xcassets/soundIcon.imageset/Contents.json,ios-experimental,faa7379a5808f006bccb50c0c1777c20e5782cdf,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/soundIcon.imageset/Contents.json;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/soundIcon.imageset/Contents.json;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/soundIcon.imageset/Contents.json;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/soundIcon.imageset/Contents.json
samples/CameraAccess/CameraAccess/Assets.xcassets/soundIcon.imageset/soundIcon.png,ios-experimental,4f3a2cad7f96a16a9380abc7da0a94a7d7efc764,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/soundIcon.imageset/soundIcon.png;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/soundIcon.imageset/soundIcon.png;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/soundIcon.imageset/soundIcon.png;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/soundIcon.imageset/soundIcon.png
samples/CameraAccess/CameraAccess/Assets.xcassets/tapIcon.imageset/Contents.json,ios-experimental,6b2b21ba17ffb23ad1155d29fc3dd45b6eeaa6ab,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/tapIcon.imageset/Contents.json;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/tapIcon.imageset/Contents.json;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/tapIcon.imageset/Contents.json;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/tapIcon.imageset/Contents.json
samples/CameraAccess/CameraAccess/Assets.xcassets/tapIcon.imageset/tapIcon.png,ios-experimental,92a3805a21795bfe19d74cc986d76b5cffec2f2e,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/tapIcon.imageset/tapIcon.png;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/tapIcon.imageset/tapIcon.png;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/tapIcon.imageset/tapIcon.png;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/tapIcon.imageset/tapIcon.png
samples/CameraAccess/CameraAccess/Assets.xcassets/videoIcon.imageset/Contents.json,ios-experimental,b432781dd8636d31144d82a184c01f36dd7df610,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/videoIcon.imageset/Contents.json;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/videoIcon.imageset/Contents.json;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/videoIcon.imageset/Contents.json;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/videoIcon.imageset/Contents.json
samples/CameraAccess/CameraAccess/Assets.xcassets/videoIcon.imageset/videoIcon.png,ios-experimental,c7757a982d29edce87c3dab55aef99ba53e7480c,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/videoIcon.imageset/videoIcon.png;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/videoIcon.imageset/videoIcon.png;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/videoIcon.imageset/videoIcon.png;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/videoIcon.imageset/videoIcon.png
samples/CameraAccess/CameraAccess/Assets.xcassets/walkingIcon.imageset/Contents.json,ios-experimental,fefdf38811c686a0702058793a7afedd79f55301,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/walkingIcon.imageset/Contents.json;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/walkingIcon.imageset/Contents.json;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/walkingIcon.imageset/Contents.json;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/walkingIcon.imageset/Contents.json
samples/CameraAccess/CameraAccess/Assets.xcassets/walkingIcon.imageset/walkingIcon.png,ios-experimental,a64ab02ee863576d8f71f67820c6eac66314f791,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/walkingIcon.imageset/walkingIcon.png;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/walkingIcon.imageset/walkingIcon.png;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/walkingIcon.imageset/walkingIcon.png;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/walkingIcon.imageset/walkingIcon.png
samples/CameraAccess/CameraAccess/CameraAccess.entitlements,ios-experimental,6631ffa6f24265b2e341ccb354d8a5983a7f106a,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:visionclaw:samples/CameraAccess/CameraAccess/CameraAccess.entitlements;same-path:meta-ios:samples/CameraAccess/CameraAccess/CameraAccess.entitlements;same-path:visionclaw:samples/CameraAccess/CameraAccess/CameraAccess.entitlements
samples/CameraAccess/CameraAccess/CameraAccessApp.swift,ios-experimental,da3cb851d6395a49601fc0ff8c97bc8e974cfdb2,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/CameraAccessApp.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/CameraAccessApp.swift
samples/CameraAccess/CameraAccess/Gemini/AudioManager.swift,ios-experimental,3c6c38d48672f9be86e98452c38f0f0f15a26b07,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:visionclaw:samples/CameraAccess/CameraAccess/Gemini/AudioManager.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Gemini/AudioManager.swift
samples/CameraAccess/CameraAccess/Gemini/GeminiConfig.swift,ios-experimental,5c124f6657c205f2d35934df1dbb402872a40c58,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:visionclaw:samples/CameraAccess/CameraAccess/Gemini/GeminiConfig.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Gemini/GeminiConfig.swift
samples/CameraAccess/CameraAccess/Gemini/GeminiLiveService.swift,ios-experimental,38b4500956c4c300456769e0d856544affc148e1,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:visionclaw:samples/CameraAccess/CameraAccess/Gemini/GeminiLiveService.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Gemini/GeminiLiveService.swift
samples/CameraAccess/CameraAccess/Gemini/GeminiSessionViewModel.swift,ios-experimental,0222b437de82ae49ffcdf4ed579f6698e1356a6e,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:visionclaw:samples/CameraAccess/CameraAccess/Gemini/GeminiSessionViewModel.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Gemini/GeminiSessionViewModel.swift
samples/CameraAccess/CameraAccess/Info.plist,ios-experimental,261a2f260e10d8c375b31e77a547dfd685e738f1,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,same-path:meta-ios:samples/CameraAccess/CameraAccess/Info.plist;same-path:visionclaw:samples/CameraAccess/CameraAccess/Info.plist
samples/CameraAccess/CameraAccess/OpenClaw/OpenClawBridge.swift,ios-experimental,86221668046ef484878949f5830b2bf1b0f05b49,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:visionclaw:samples/CameraAccess/CameraAccess/OpenClaw/OpenClawBridge.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/OpenClaw/OpenClawBridge.swift
samples/CameraAccess/CameraAccess/OpenClaw/ToolCallModels.swift,ios-experimental,c7222a288c7b28b5c9f019816af5945186e5712a,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:visionclaw:samples/CameraAccess/CameraAccess/OpenClaw/ToolCallModels.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/OpenClaw/ToolCallModels.swift
